,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,4.865412712097168,2.20576810836792,4.228097915649414,2.0562338829040527
1,3.772967576980591,1.9424128532409668,3.272796630859375,1.8090872764587402
2,2.902865409851074,1.703779697418213,2.5168814659118652,1.58646821975708
3,2.222951889038086,1.4909566640853882,1.9328835010528564,1.3902817964553833
4,1.692755103111267,1.3010592460632324,1.4771831035614014,1.2153942584991455
5,1.2844504117965698,1.1333359479904175,1.1265445947647095,1.0613880157470703
6,0.9750939607620239,0.9874684810638428,0.8693310618400574,0.9323792457580566
7,0.74952632188797,0.8657518625259399,0.6842111945152283,0.8271706104278564
8,0.585280179977417,0.7650360465049744,0.5500609874725342,0.7416609525680542
9,0.46823596954345703,0.6842777132987976,0.4573371410369873,0.6762670874595642
10,0.3886480927467346,0.6234164834022522,0.3960864543914795,0.6293540000915527
11,0.3369699716567993,0.5804911255836487,0.3537178039550781,0.5947418212890625
12,0.3004920482635498,0.5481715202331543,0.3207883834838867,0.5663818120956421
13,0.27217063307762146,0.5216997265815735,0.293637752532959,0.5418835282325745
14,0.24963803589344025,0.4996379017829895,0.2714044451713562,0.5209649205207825
15,0.23196463286876678,0.48162707686424255,0.2537350058555603,0.5037211775779724
16,0.21835651993751526,0.4672863483428955,0.24022063612937927,0.49012309312820435
17,0.20804715156555176,0.45612186193466187,0.22748157382011414,0.4769502878189087
18,0.19547180831432343,0.4421219527721405,0.2138010561466217,0.46238625049591064
19,0.18245361745357513,0.42714589834213257,0.19819079339504242,0.4451862573623657
20,0.17012052237987518,0.4124566912651062,0.18547390401363373,0.43066680431365967
21,0.15998512506484985,0.39998140931129456,0.1750982701778412,0.41844746470451355
22,0.1508091390132904,0.3883415162563324,0.16496428847312927,0.4061579704284668
23,0.14226388931274414,0.3771788477897644,0.15565693378448486,0.39453381299972534
24,0.13433140516281128,0.3665124773979187,0.1470867246389389,0.38351887464523315
25,0.12676963210105896,0.35604724287986755,0.13899344205856323,0.3728182315826416
26,0.1196240782737732,0.3458671271800995,0.1311502754688263,0.3621467649936676
27,0.11274877935647964,0.3357808589935303,0.12360241264104843,0.35157135128974915
28,0.10616526752710342,0.3258301317691803,0.1166427880525589,0.34153005480766296
29,0.09997569024562836,0.31618931889533997,0.10979584604501724,0.331354558467865
30,0.09375477582216263,0.306194007396698,0.10293451696634293,0.32083410024642944
31,0.08781017363071442,0.2963278293609619,0.09631907939910889,0.31035315990448
32,0.08192749321460724,0.28622978925704956,0.08945907652378082,0.29909709095954895
33,0.07565388828516006,0.2750525176525116,0.08257234841585159,0.287354052066803
34,0.06961371004581451,0.2638441026210785,0.07587052881717682,0.2754460573196411
35,0.06393851339817047,0.2528606653213501,0.06965859234333038,0.2639291286468506
36,0.05864463374018669,0.24216653406620026,0.06388594210147858,0.25275668501853943
37,0.05363250896334648,0.23158693313598633,0.058359526097774506,0.2415771633386612
38,0.04903297871351242,0.22143390774726868,0.053367309272289276,0.23101365566253662
39,0.044737569987773895,0.21151258051395416,0.0487225279211998,0.22073179483413696
40,0.040713272988796234,0.20177529752254486,0.04417026787996292,0.21016724407672882
41,0.036890722811222076,0.19206957519054413,0.03993434086441994,0.19983579218387604
42,0.033222753554582596,0.1822710931301117,0.035956211388111115,0.1896212249994278
43,0.029775062575936317,0.17255452275276184,0.03214208036661148,0.17928212881088257
44,0.02652280405163765,0.16285823285579681,0.028572237119078636,0.1690332442522049
45,0.023432599380612373,0.15307709574699402,0.02510525844991207,0.15844638645648956
46,0.020567063242197037,0.14341221749782562,0.022053582593798637,0.14850448071956635
47,0.0179266519844532,0.13389045000076294,0.019104208797216415,0.1382179707288742
48,0.015479939058423042,0.12441840022802353,0.016513947397470474,0.128506600856781
49,0.013267788104712963,0.11518588662147522,0.014080268330872059,0.11866030842065811
50,0.011249696835875511,0.10606458783149719,0.01187289971858263,0.10896283388137817
51,0.009441172704100609,0.09716569632291794,0.009986793622374535,0.09993394464254379
52,0.007847802713513374,0.08858782798051834,0.008285445161163807,0.09102442115545273
53,0.0064507946372032166,0.08031684160232544,0.006730854511260986,0.08204178512096405
54,0.005266261752694845,0.07256901264190674,0.005531057715415955,0.0743710845708847
55,0.004261712543666363,0.06528179347515106,0.004498238675296307,0.067068912088871
56,0.0034442604519426823,0.05868782103061676,0.0036593307740986347,0.06049240380525589
57,0.002807485405355692,0.05298570916056633,0.002931987401098013,0.05414782837033272
58,0.002289028372615576,0.04784379154443741,0.0024915640242397785,0.04991557076573372
59,0.0019088683184236288,0.04369059577584267,0.0020334830041974783,0.04509415850043297
60,0.0016216153744608164,0.040269285440444946,0.0017247889190912247,0.04153057932853699
61,0.0013702677097171545,0.03701712563633919,0.0014987729955464602,0.03871398791670799
62,0.001191351213492453,0.03451595455408096,0.0013156591448932886,0.036272015422582626
63,0.0010498675983399153,0.03240165859460831,0.0011535871308296919,0.033964499831199646
64,0.0009314349154010415,0.03051941841840744,0.0010223884601145983,0.03197481110692024
65,0.000833527185022831,0.028870871290564537,0.0009232039446942508,0.03038427047431469
66,0.0007544820546172559,0.027467837557196617,0.0008935305522754788,0.029891980811953545
67,0.0006919772131368518,0.026305459439754486,0.0007748184725642204,0.027835560962557793
68,0.0006286001880653203,0.025071900337934494,0.0007337615825235844,0.02708803303539753
69,0.0005785739631392062,0.02405356429517269,0.0006700995145365596,0.025886280462145805
70,0.0005336972535587847,0.023101888597011566,0.0006204961100593209,0.02490975894033909
71,0.0004922295920550823,0.022186247631907463,0.0005974179948680103,0.02444213628768921
72,0.00044972094474360347,0.021206624805927277,0.0005317264585755765,0.023059194907546043
73,0.00042246151133440435,0.020553868263959885,0.0004953767638653517,0.022257061675190926
74,0.00039277755422517657,0.019818617030978203,0.00044323992915451527,0.021053263917565346
75,0.00036598872975446284,0.019130831584334373,0.0004120696394238621,0.020299497991800308
76,0.00034213659819215536,0.018496934324502945,0.00038024186505936086,0.01949979178607464
77,0.0003186433750670403,0.017850585281848907,0.0003659097128547728,0.019128765910863876
78,0.00029884089599363506,0.017287015914916992,0.0003487680805847049,0.01867533288896084
79,0.0002753932785708457,0.01659497804939747,0.0003067541983909905,0.01751440018415451
80,0.00025407495559193194,0.015939729288220406,0.0002911763440351933,0.017063889652490616
81,0.00022832905233372003,0.015110560692846775,0.0002589400392025709,0.016091613098978996
82,0.00021041696891188622,0.014505756087601185,0.00025920788175426424,0.01609993353486061
83,0.00019308662740513682,0.01389556098729372,0.00021664499945472926,0.014718865044414997
84,0.00017224026669282466,0.013124033808708191,0.00021728852880187333,0.014740710146725178
85,0.00015652715228497982,0.01251108106225729,0.00019547487318050116,0.013981233350932598
86,0.00014327446115203202,0.01196973118931055,0.0001567350554978475,0.012519387528300285
87,0.00012966440408490598,0.01138702780008316,0.00014550243213307112,0.012062438763678074
88,0.00011332527355989441,0.010645434260368347,0.00013046116509940475,0.011421959847211838
89,9.493264224147424e-05,0.009743338450789452,0.00013547750131692737,0.011639480479061604
90,8.636115671833977e-05,0.009293070062994957,0.00011305986845400184,0.010632961057126522
91,7.800898310961202e-05,0.008832269348204136,0.00010845429642358795,0.010414139367640018
92,7.178862870205194e-05,0.00847281701862812,7.671538332942873e-05,0.008758732117712498
93,6.299578672042117e-05,0.007936988957226276,7.397290028166026e-05,0.008600750006735325
94,5.624148252536543e-05,0.0074994321912527084,5.647770740324631e-05,0.007515165023505688
95,5.10411846335046e-05,0.0071443114429712296,5.385162148741074e-05,0.007338366471230984
96,4.59479124401696e-05,0.006778488866984844,4.2207066144328564e-05,0.00649669673293829
97,4.028426337754354e-05,0.006346988491714001,3.679173823911697e-05,0.0060656191781163216
98,3.7676090869354084e-05,0.006138085387647152,4.4565127609530464e-05,0.0066757118329405785
99,3.256666241213679e-05,0.005706720985472202,2.984317507070955e-05,0.0054628909565508366
100,2.9775488656014204e-05,0.005456692073494196,2.5545668904669583e-05,0.005054272245615721
101,2.6639932912075892e-05,0.005161388777196407,2.76423197647091e-05,0.0052575962617993355
102,2.5109238777076825e-05,0.005010912194848061,2.1552194084506482e-05,0.004642433952540159
103,2.279241380165331e-05,0.004774140194058418,1.9423716366873123e-05,0.004407234489917755
104,2.239000423287507e-05,0.004731807857751846,1.8174854631070048e-05,0.004263197537511587
105,2.0092127670068294e-05,0.0044824243523180485,1.5989422536222264e-05,0.003998677711933851
106,1.8291138985659927e-05,0.004276813939213753,1.591476575413253e-05,0.003989331424236298
107,1.8416973034618422e-05,0.004291499964892864,1.4817373084952123e-05,0.0038493340834975243
108,1.5409861589432694e-05,0.003925539553165436,2.0818428311031312e-05,0.004562721587717533
109,1.4136708159639966e-05,0.003759881481528282,1.053960841090884e-05,0.0032464764080941677
110,1.3550050425692461e-05,0.0036810392048209906,1.0340017979615368e-05,0.0032155897933989763
111,1.2299040463403799e-05,0.0035069987643510103,1.4429670045501553e-05,0.003798640565946698
112,1.0685123925213702e-05,0.003268810687586665,8.333898222190328e-06,0.002886849222704768
113,9.902061719913036e-06,0.0031467541120946407,7.969124453666154e-06,0.0028229637537151575
114,9.539895472698845e-06,0.0030886721797287464,7.00973851053277e-06,0.00264759105630219
115,8.50261676532682e-06,0.002915924647822976,7.870167792134453e-06,0.002805382013320923
116,7.920082680357154e-06,0.0028142640367150307,5.630832220049342e-06,0.002372937509790063
117,7.730549441475887e-06,0.0027803864795714617,9.676651643530931e-06,0.0031107317190617323
118,7.14315683580935e-06,0.002672668546438217,5.518576472240966e-06,0.0023491650354117155
119,6.9001480369479395e-06,0.0026268132496625185,8.046952643780969e-06,0.0028367151971906424
120,6.052804110368015e-06,0.0024602448102086782,5.852569756825687e-06,0.0024192084092646837
121,6.155985374789452e-06,0.0024811257608234882,4.014084424852626e-06,0.002003517933189869
122,5.747647264797706e-06,0.002397425239905715,3.2087293675431283e-06,0.001791292685084045
123,5.380165021051653e-06,0.002319518243893981,4.402714694151655e-06,0.0020982646383345127
124,5.112432972964598e-06,0.002261068904772401,4.665768756240141e-06,0.0021600390318781137
125,5.132343630975811e-06,0.0022654675412923098,5.099369445815682e-06,0.002258178312331438
126,5.057668204244692e-06,0.0022489260882139206,1.0774720067274757e-05,0.00328248692676425
127,4.982696736988146e-06,0.0022321955766528845,3.170279569530976e-06,0.00178052787669003
128,4.841882400796749e-06,0.002200427697971463,4.675995569414226e-06,0.0021624050568789244
129,4.954682481184136e-06,0.00222591171041131,4.063274900545366e-06,0.0020157566759735346
130,5.04013314639451e-06,0.0022450240794569254,4.806993274542037e-06,0.002192485611885786
131,5.251386028248817e-06,0.0022915902081876993,3.8086241147539113e-06,0.0019515696913003922
132,5.238482117420062e-06,0.0022887729573994875,6.294108516158303e-06,0.002508806297555566
