,Temp,Cp-1,Cp-2,Cp-3,Cp-4,Cp-5,Cp-6,Cp-7,Cp-8,r,s,z0l,zl,z0,zu,z0u,z0_gd
11,32,1.284257,1.321376,1.328207,1.285509,1.292573,1.291962,1.292768,1.29313,0.3,1.0,1.2920767481988,1.29252182915401,1.29267396766943,1.29281085171597,1.29308252696149,1.36056918067536
12,33,1.285196,1.32272,1.329812,1.286605,1.293276,1.293502,1.29391,1.294244,0.3,1.0,1.28656140068987,1.29138102787041,1.29310355101523,1.29518820382401,1.30969867276921,1.36225335786375
13,34,1.286151,1.324093,1.330859,1.28789,1.294842,1.294921,1.295612,1.295707,0.3,1.0,1.28779587877351,1.2928817037367,1.29457574973149,1.29658207766482,1.31016569003595,1.36390497291197
14,35,1.287793,1.325724,1.33238,1.289315,1.296282,1.29568,1.296586,1.297084,0.3,1.0,1.29579722487448,1.29625402687787,1.29643637091693,1.29661212594441,1.29699760676467,1.3653599060913
15,36,1.289252,1.327193,1.334287,1.290574,1.297279,1.297091,1.298066,1.298579,0.3,1.0,1.29054314360514,1.29534915858978,1.2971201496337,1.2992818465149,1.31436542768703,1.36687931116836
16,37,1.290056,1.328832,1.335287,1.291374,1.298505,1.299148,1.299063,1.299605,0.3,1.0,1.29135712073977,1.29650856210826,1.29843855448691,1.30079583468983,1.31686269321086,1.36844643785384
17,38,1.291295,1.330498,1.336688,1.293292,1.299681,1.299951,1.300084,1.301077,0.3,1.0,1.29300339502961,1.29787469201027,1.29940251394426,1.30119200338388,1.3136105010415,1.37009651473112
18,39,1.292552,1.332044,1.338005,1.294831,1.301398,1.301221,1.301774,1.302928,0.3,1.0,1.2943674526722,1.2994545724896,1.30099811541222,1.30279570532584,1.31520117269637,1.37179159348604
19,40,1.294098,1.333287,1.339374,1.295459,1.302709,1.302457,1.302918,1.303443,0.3,1.0,1.29539809155624,1.30034906710578,1.30217002787648,1.30438835188533,1.31976840109476,1.37293998180046
20,41,1.295654,1.335362,1.340809,1.296758,1.303977,1.30407,1.304341,1.304559,0.3,1.0,1.30398407767618,1.30407546134909,1.3041881223942,1.3043319023371,1.30453596651768,1.37442406552025
21,42,1.296934,1.336811,1.342474,1.297848,1.305302,1.305278,1.305827,1.305895,0.3,1.0,1.29787063051017,1.30284920632898,1.30498173997962,1.30768667034576,1.32639884178688,1.37613975743376
22,43,1.297957,1.338327,1.343048,1.299317,1.306055,1.306742,1.306573,1.30777,0.3,1.0,1.29920424067978,1.30410741634463,1.30592782724466,1.3081485847395,1.32352641539966,1.37765552864213
23,44,1.299317,1.340114,1.344877,1.300665,1.307592,1.307808,1.308264,1.308565,0.3,1.0,1.30054757326017,1.30540290468634,1.30720314213479,1.30940129905055,1.32483407527744,1.37916616104715
24,45,1.30054,1.342824,1.3466,1.30177,1.308601,1.30872,1.309707,1.310272,0.3,1.0,1.30860435965232,1.3087317300291,1.30907686308752,1.30967030959419,1.31024800078653,1.38061933253811
25,46,1.301705,1.344364,1.347369,1.302947,1.309827,1.310296,1.310381,1.311458,0.3,1.0,1.30278153730437,1.30757111625267,1.30942883534278,1.31172162277549,1.32798548428965,1.38229212890116
26,47,1.302784,1.346597,1.348642,1.30438,1.311076,1.310978,1.311219,1.312774,0.3,1.0,1.30433133107365,1.30919645161067,1.31088816473605,1.31293527800848,1.32736412344978,1.38359238021339
27,48,1.303545,1.348184,1.349562,1.304879,1.311844,1.311937,1.311858,1.313556,0.3,1.0,1.30503780307237,1.31018342340079,1.31210486563422,1.31448304433718,1.33167706413832,1.38533508101327
28,49,1.30513,1.350196,1.351253,1.305882,1.313062,1.313519,1.31322,1.314239,0.3,1.0,1.31307955270089,1.31321954157384,1.31334458690063,1.31351990301714,1.31406597727641,1.38722833653655
29,50,1.306309,1.351949,1.352662,1.306736,1.314308,1.314543,1.314191,1.315445,0.3,1.0,1.31419992948205,1.31429842792503,1.31440144809663,1.31456626426622,1.31522927714199,1.38876236687687
30,51,1.308111,1.353793,1.353858,1.308761,1.316081,1.315892,1.316056,1.317103,0.3,1.0,1.3091402113208,1.31474849953211,1.31712810530142,1.32011727668782,1.34709001555169,1.39029913679691
31,52,1.308772,1.355461,1.355081,1.309817,1.317184,1.317383,1.317321,1.318191,0.3,1.0,1.31013189238479,1.3156408668113,1.31782642030617,1.32056144357412,1.34182112983986,1.39198074101623
32,53,1.310987,1.356793,1.357155,1.311662,1.318869,1.318984,1.3195,1.319857,0.3,1.0,1.31887483638194,1.31899254463484,1.31919412341056,1.31948196097121,1.3198306073073,1.39341309489358
33,54,1.311909,1.358981,1.359029,1.313099,1.319726,1.31994,1.320245,1.321286,0.3,1.0,1.31974495479625,1.31991996176551,1.32007000570945,1.32028346626728,1.32105191884425,1.39486724702421
34,55,1.313464,1.361021,1.359903,1.31413,1.321211,1.322006,1.321772,1.322556,0.3,1.0,1.32131148124265,1.32172624943365,1.32188915808581,1.32205145463813,1.32245878296121,1.39596413660693
35,56,1.314915,1.362358,1.361537,1.315539,1.32307,1.323176,1.323468,1.324067,0.3,1.0,1.32308124024196,1.32318129232151,1.32329059570363,1.32345556499066,1.32392751581185,1.39716194288346
36,57,1.315259,1.363455,1.363048,1.317223,1.323947,1.324231,1.324103,1.325691,0.3,1.0,1.31689021479256,1.32182528583132,1.32340423785149,1.32525164066528,1.33838026582458,1.39896037246649
37,58,1.316244,1.364609,1.363717,1.317803,1.324555,1.325545,1.325492,1.326075,0.3,1.0,1.32470948300192,1.32533053612461,1.32551874725093,1.32568484414935,1.32602322122783,1.40010287619252
38,59,1.317421,1.365722,1.365118,1.318897,1.326101,1.326862,1.326073,1.327957,0.3,1.0,1.32223679812273,1.32528325234562,1.32610447393178,1.3266515230637,1.32773611512344,1.40192937952359
39,60,1.318611,1.36705,1.366406,1.319595,1.32715,1.326966,1.327664,1.328208,0.3,1.0,1.32698200224699,1.32716011223402,1.3273673935436,1.32764534930364,1.32813402835226,1.40365107147913
40,61,1.318609,1.367858,1.367074,1.320554,1.327272,1.328398,1.328523,1.329322,0.3,1.0,1.32037950431137,1.32572547912764,1.32750180130012,1.32961334880429,1.34430415947858,1.40508033422809
41,62,1.320372,1.369103,1.368842,1.322503,1.328971,1.329528,1.329469,1.330539,0.3,1.0,1.32199430801016,1.32689582779151,1.32839588592996,1.33012470279599,1.34262660376914,1.40651937613702
42,63,1.321188,1.370935,1.370246,1.323251,1.330091,1.331122,1.33019,1.332224,0.3,1.0,1.32293001500737,1.32813341685473,1.32980566937074,1.33176507942287,1.34549208138412,1.40897065500647
43,64,1.322426,1.371843,1.370824,1.324051,1.331448,1.331331,1.331484,1.332302,0.3,1.0,1.32401675157713,1.3291975060701,1.33102259374878,1.33324385841503,1.34923509883476,1.40959840977586
44,65,1.323067,1.372833,1.371889,1.325351,1.331911,1.333288,1.332728,1.334008,0.3,1.0,1.33208383665491,1.33272581331442,1.33301143917831,1.33329008085122,1.33386567143712,1.41094774876829
